frame_seq,frame_number,total_packets,received_packets,lost_packets,loss_rate,timestamp_us,target_bitrate_kbps
176,177,12,12,0,0.0000,1052921552616,5000
177,178,14,14,0,0.0000,1052921587156,5000
178,179,8,8,0,0.0000,1052921620737,5000
179,180,9,9,0,0.0000,1052921654477,5000
180,181,10,10,0,0.0000,1052921686491,5000
181,182,9,9,0,0.0000,1052921717983,5000
182,183,12,12,0,0.0000,1052921751308,5000
183,184,10,10,0,0.0000,1052921784692,5000
184,185,7,7,0,0.0000,1052921817690,5000
185,186,9,9,0,0.0000,1052921851586,5000
186,187,11,11,0,0.0000,1052921887125,5000
187,188,10,10,0,0.0000,1052921921989,5000
188,189,11,11,0,0.0000,1052921951473,5000
189,190,7,7,0,0.0000,1052921985117,5000
190,191,10,10,0,0.0000,1052922018799,5000
191,192,10,10,0,0.0000,1052922055899,5000
192,193,9,9,0,0.0000,1052922087803,5000
193,194,10,10,0,0.0000,1052922121299,5000
194,195,11,11,0,0.0000,1052922154830,5000
195,196,8,8,0,0.0000,1052922185636,5000
196,197,9,9,0,0.0000,1052922218356,5000
197,198,10,10,0,0.0000,1052922251316,5000
198,199,12,12,0,0.0000,1052922287435,5000
199,200,8,8,0,0.0000,1052922318184,5000
200,201,9,9,0,0.0000,1052922350800,5000
201,202,11,11,0,0.0000,1052922384884,5000
202,203,8,8,0,0.0000,1052922417915,5000
203,204,9,9,0,0.0000,1052922453964,5000
204,205,10,10,0,0.0000,1052922485368,5000
205,206,11,11,0,0.0000,1052922518598,5000
206,207,8,8,0,0.0000,1052922554409,5000
207,208,10,10,0,0.0000,1052922587101,5000
208,209,11,11,0,0.0000,1052922618874,5000
209,210,8,8,0,0.0000,1052922651297,5000
210,211,10,10,0,0.0000,1052922686707,5000
211,212,11,11,0,0.0000,1052922718060,5000
212,213,8,8,0,0.0000,1052922753367,5000
213,214,10,10,0,0.0000,1052922789495,5000
214,215,11,11,0,0.0000,1052922821974,5000
215,216,8,8,0,0.0000,1052922851231,5000
216,217,10,10,0,0.0000,1052922885092,5000
217,218,11,11,0,0.0000,1052922918333,5000
218,219,9,9,0,0.0000,1052922951218,5000
219,220,10,10,0,0.0000,1052922985163,5000
220,221,8,8,0,0.0000,1052923017894,5000
221,222,12,12,0,0.0000,1052923055771,5000
222,223,8,8,0,0.0000,1052923088021,5000
223,224,10,10,0,0.0000,1052923118974,5000
224,225,11,11,0,0.0000,1052923151053,5000
225,226,8,8,0,0.0000,1052923186840,5000
226,227,10,10,0,0.0000,1052923222115,5000
